season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2017,REG,ARI,1,00-0022921,WR,Larry Fitzgerald,Larry,Fitzgerald,,,,Not Injury Related,,Full Participation in Practice,2017-09-08T12:44:25Z
2017,REG,ARI,1,00-0021429,QB,Carson Palmer,Carson,Palmer,,,,Not Injury Related,,Full Participation in Practice,2017-09-08T12:44:25Z
2017,REG,ARI,1,00-0031366,LB,Deone Bucannon,Deone,Bucannon,Ankle,,Out,Ankle,,Did Not Participate In Practice,2017-09-08T12:44:44Z
2017,REG,ARI,1,00-0027869,G,Mike Iupati,Mike,Iupati,Tricep,,Questionable,Tricep,,Limited Participation in Practice,2017-09-08T12:44:35Z
2017,REG,ARI,1,00-0032761,DT,Robert Nkemdiche,Robert,Nkemdiche,Calf,,Questionable,Calf,,Limited Participation in Practice,2017-09-08T12:44:35Z
2017,REG,ATL,1,00-0033512,S,Damontae Kazee,Damontae,Kazee,,,,Ankle,,Full Participation in Practice,2017-09-08T09:20:16Z
2017,REG,ATL,1,00-0031682,RB,Terron Ward,Terron,Ward,,,,Hamstring,,Limited Participation in Practice,2017-09-08T09:20:16Z
2017,REG,ATL,1,00-0033567,RB,Brian Hill,Brian,Hill,Ankle,,Out,Ankle,,Did Not Participate In Practice,2017-09-08T09:20:33Z
2017,REG,ATL,1,00-0029076,T,Austin Pasztor,Austin,Pasztor,Chest,,Questionable,Chest,,Limited Participation in Practice,2017-09-08T09:20:20Z
2017,REG,BAL,1,00-0026158,QB,Joe Flacco,Joe,Flacco,,,,Back,,Full Participation in Practice,2017-09-08T10:22:56Z
2017,REG,BAL,1,00-0026995,WR,Jeremy Maclin,Jeremy,Maclin,,,,Hand,,Full Participation in Practice,2017-09-08T10:22:56Z
2017,REG,BAL,1,00-0032054,WR,Breshad Perriman,Breshad,Perriman,,,,Thigh,,Full Participation in Practice,2017-09-08T10:22:56Z
2017,REG,BAL,1,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,,,,Knee,,Full Participation in Practice,2017-09-08T10:22:56Z
2017,REG,BAL,1,00-0026019,RB,Danny Woodhead,Danny,Woodhead,,,,Thigh,,Full Participation in Practice,2017-09-08T10:22:56Z
2017,REG,BAL,1,00-0033826,CB,Jaylen Hill,Jaylen,Hill,Thigh,,Out,Thigh,,Did Not Participate In Practice,2017-09-08T10:24:09Z
2017,REG,BAL,1,00-0029825,CB,Sheldon Price,Sheldon,Price,Concussion,,Doubtful,Concussion,,Limited Participation in Practice,2017-09-08T10:24:41Z
2017,REG,BUF,1,00-0026578,S,Colt Anderson,Colt,Anderson,,,,Foot,,Full Participation in Practice,2017-09-08T11:41:00Z
2017,REG,BUF,1,00-0027941,DT,Marcell Dareus,Marcell,Dareus,,,,Hip,,Full Participation in Practice,2017-09-08T11:40:38Z
2017,REG,BUF,1,00-0029561,T,Cordy Glenn,Cordy,Glenn,,,,Foot,,Full Participation in Practice,2017-09-08T11:40:38Z
2017,REG,BUF,1,00-0031299,WR,Jordan Matthews,Jordan,Matthews,,,,Chest,,Full Participation in Practice,2017-09-08T11:40:38Z
2017,REG,BUF,1,00-0027029,RB,LeSean McCoy,LeSean,McCoy,,,,Illness,,Full Participation in Practice,2017-09-08T11:40:53Z
2017,REG,BUF,1,00-0028118,QB,Tyrod Taylor,Tyrod,Taylor,,,,Concussion,,Full Participation in Practice,2017-09-08T11:40:38Z
2017,REG,BUF,1,00-0033580,LB,Tanner Vallejo,Tanner,Vallejo,Knee,,Out,Knee,,Did Not Participate In Practice,2017-09-08T11:41:16Z
2017,REG,BUF,1,00-0029257,DT,Jerel Worthy,Jerel,Worthy,Concussion,,Out,Concussion,,Did Not Participate In Practice,2017-09-08T11:41:22Z
2017,REG,CAR,1,00-0033410,CB,Cole Luke,Cole,Luke,Ankle,,Out,Ankle,,Did Not Participate In Practice,2017-09-08T09:06:41Z
2017,REG,CAR,1,00-0032998,LB,Jared Norris,Jared,Norris,Groin,,Out,Groin,,Did Not Participate In Practice,2017-09-08T09:06:50Z
2017,REG,CAR,1,00-0032967,DT,Vernon Butler,Vernon,Butler,Knee,,Doubtful,Knee,,Limited Participation in Practice,2017-09-08T09:06:31Z
2017,REG,CAR,1,00-0033285,DE,Daeshon Hall,Daeshon,Hall,Knee,,Questionable,Knee,,Full Participation in Practice,2017-09-08T09:06:25Z
2017,REG,CAR,1,00-0027236,DT,Kyle Love,Kyle,Love,Ankle,,Questionable,Ankle,,Full Participation in Practice,2017-09-08T09:06:25Z
2017,REG,CAR,1,00-0027939,QB,Cam Newton,Cam,Newton,right Shoulder,,Questionable,right Shoulder,,Full Participation in Practice,2017-09-08T09:06:25Z
2017,REG,CAR,1,00-0033282,WR,Curtis Samuel,Curtis,Samuel,Ankle,,Questionable,Ankle,,Full Participation in Practice,2017-09-08T09:06:25Z
2017,REG,CHI,1,00-0028041,LB,Sam Acho,Sam,Acho,,,,Ankle,,Full Participation in Practice,2017-09-08T11:57:18Z
2017,REG,CHI,1,00-0033093,DE,Jonathan Bullard,Jonathan,Bullard,,,,Glute,,Full Participation in Practice,2017-09-08T11:56:56Z
2017,REG,CHI,1,00-0033784,S,Eddie Jackson,Eddie,Jackson,,,,Groin,,Full Participation in Practice,2017-09-07T12:50:26Z
2017,REG,CHI,1,00-0027743,CB,Sherrick McManis,Sherrick,McManis,,,,Hamstring,,Full Participation in Practice,2017-09-08T11:57:51Z
2017,REG,CHI,1,00-0027957,CB,Prince Amukamara,Prince,Amukamara,Ankle,,Doubtful,Ankle,,Did Not Participate In Practice,2017-09-08T11:58:20Z
2017,REG,CHI,1,00-0030441,G,Kyle Long,Kyle,Long,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2017-09-08T11:58:36Z
2017,REG,CHI,1,00-0028103,LB,Pernell McPhee,Pernell,McPhee,Knee,,Questionable,Knee,,Limited Participation in Practice,2017-09-08T11:59:19Z
2017,REG,CHI,1,00-0030460,WR,Markus Wheaton,Markus,Wheaton,Finger,,Questionable,Finger,,Limited Participation in Practice,2017-09-08T11:58:55Z
2017,REG,CIN,1,00-0033009,WR,Tyler Boyd,Tyler,Boyd,,,,Hamstring,,Full Participation in Practice,2017-09-08T09:30:05Z
2017,REG,CIN,1,00-0030549,TE,Tyler Eifert,Tyler,Eifert,,,,Knee,,Full Participation in Practice,2017-09-08T09:30:05Z
2017,REG,CIN,1,00-0031301,RB,Jeremy Hill,Jeremy,Hill,,,,Ankle,,Full Participation in Practice,2017-09-08T09:30:05Z
2017,REG,CIN,1,00-0029215,S,George Iloka,George,Iloka,,,,Knee,,Full Participation in Practice,2017-09-08T09:30:05Z
2017,REG,CIN,1,00-0032134,TE,C.J. Uzomah,C.J.,Uzomah,Ankle,,Out,Ankle,,Did Not Participate In Practice,2017-09-08T09:33:21Z
2017,REG,CIN,1,00-0030471,S,Shawn Williams,Shawn,Williams,Elbow,,Out,Elbow,,Did Not Participate In Practice,2017-09-08T09:33:25Z
2017,REG,CIN,1,00-0033460,WR,John Ross,John,Ross,Knee,,Questionable,Knee,,Limited Participation in Practice,2017-09-08T09:33:03Z
2017,REG,CLE,1,00-0031343,S,Calvin Pryor,Calvin,Pryor,,,,Not Injury Related,,Did Not Participate In Practice,2017-09-07T12:04:14Z
2017,REG,CLE,1,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Knee,,Full Participation in Practice,2017-09-08T13:59:23Z
2017,REG,CLE,1,00-0033962,DT,Caleb Brantley,Caleb,Brantley,,,,Finger,,Full Participation in Practice,2017-09-08T13:13:08Z
2017,REG,CLE,1,00-0027006,WR,Kenny Britt,Kenny,Britt,,,,Knee,,Full Participation in Practice,2017-09-08T13:13:08Z
2017,REG,CLE,1,00-0031337,C,Marcus Martin,Marcus,Martin,,,,Toe,,Full Participation in Practice,2017-09-08T13:13:08Z
2017,REG,CLE,1,00-0031556,DE,Nate Orchard,Nate,Orchard,,,,Groin,,Full Participation in Practice,2017-09-08T13:13:32Z
2017,REG,CLE,1,00-0031533,TE,Randall Telfer,Randall,Telfer,,,,Knee,,Full Participation in Practice,2017-09-08T13:13:08Z
